111 309 30 210 239 16 0
135 259 56 183 266 24 1
156 213 81 179 270 29 2
134 226 90 162 287 37 3
136 213 101 159 290 44 4
149 186 115 155 294 49 5
138 182 130 152 297 59 6
138 171 141 147 302 67 7
154 151 145 153 296 71 8
147 149 154 154 295 86 9
145 147 158 155 294 93 10
146 141 163 153 296 98 11
139 148 163 161 288 100 12
140 145 165 162 287 105 13
145 131 174 161 288 111 14
146 132 172 158 291 116 15
145 135 170 154 295 124 16
151 126 173 160 289 133 17
159 121 170 165 284 140 18
159 119 172 167 282 142 19
160 123 167 168 281 146 20
166 122 162 172 277 152 21
167 122 161 174 275 162 22
157 135 158 168 281 170 23
156 133 161 173 276 175 24
164 120 166 175 274 184 25
168 115 167 176 273 192 26
162 122 166 176 273 196 27
167 119 164 171 278 201 28
165 125 160 171 278 203 29
157 133 160 176 273 207 30
157 129 164 186 263 213 31
160 125 165 184 265 217 32
157 128 165 184 265 222 33
159 119 172 186 263 225 34
153 118 179 192 257 228 35
154 115 181 199 250 231 36
151 118 181 200 249 233 37
157 114 179 201 248 238 38
164 106 180 198 251 245 39
153 111 186 203 246 248 40
167 109 174 204 245 258 41
159 121 170 202 247 261 42
164 117 169 199 250 265 43
171 99 180 201 248 271 44
171 100 179 204 245 278 45
170 111 169 204 245 281 46
172 99 179 204 245 285 47
170 99 181 199 250 288 48
169 107 174 194 255 290 49
172 106 172 194 255 293 50
170 104 176 185 264 295 51
157 113 180 194 255 300 52
157 116 177 195 254 308 53
170 111 169 198 251 315 54
166 114 170 204 245 320 55
173 115 162 200 249 325 56
172 109 169 207 242 331 57
172 108 170 197 252 335 58
176 104 170 191 258 339 59
171 107 172 186 263 344 60
168 111 171 186 263 347 61
166 119 165 195 254 351 62
164 119 167 188 261 353 63
168 124 158 185 264 355 64
165 122 163 183 266 359 65
164 123 163 190 259 363 66
167 120 163 199 250 365 67
157 120 173 195 254 368 68
167 108 175 197 252 375 69
170 106 174 198 251 376 70
166 112 172 195 254 382 71
169 109 172 199 250 385 72
173 106 171 200 249 395 73
165 116 169 197 252 404 74
171 105 174 191 258 409 75
173 102 175 198 251 415 76
159 119 172 195 254 422 77
166 124 160 195 254 428 78
171 116 163 197 252 430 79
170 116 164 200 249 435 80
168 114 168 195 254 435 81
173 111 166 199 250 439 82
169 108 173 198 251 445 83
169 109 172 199 250 448 84
169 119 162 203 246 454 85
172 119 159 202 247 458 86
166 123 161 204 245 465 87
166 116 168 203 246 468 88
166 119 165 209 240 473 89
156 128 166 208 241 475 90
155 123 172 210 239 478 91
173 111 166 207 242 483 92
178 103 169 210 239 490 93
180 105 165 203 246 496 94
173 109 168 195 254 499 95
172 104 174 190 259 504 96
161 116 173 187 262 506 97
170 99 181 190 259 509 98
163 112 175 190 259 514 99
160 117 173 192 257 516 100
151 123 176 193 256 520 101
150 118 182 188 261 528 102
151 121 178 191 258 531 103
154 114 182 193 256 534 104
159 111 180 194 255 542 105
163 109 178 207 242 548 106
155 115 180 208 241 553 107
163 115 172 209 240 559 108
168 114 168 212 237 563 109
169 113 168 212 237 567 110
179 108 163 213 236 575 111
173 115 162 205 244 576 112
179 109 162 202 247 579 113
170 115 165 202 247 581 114
165 122 163 201 248 585 115
172 111 167 198 251 590 116
167 112 171 191 258 595 117
166 115 169 201 248 597 118
162 116 172 199 250 603 119
156 118 176 193 256 607 120
155 121 174 195 254 612 121
159 117 174 188 261 619 122
162 114 174 191 258 626 123
158 118 174 192 257 628 124
162 111 177 198 251 633 125
168 112 170 196 253 639 126
165 124 161 199 250 646 127
161 129 160 199 250 649 128
171 121 158 198 251 660 129
