71 174 25 382 247 8 0
87 140 43 349 280 18 1
95 117 58 339 290 25 2
89 107 74 332 297 29 3
89 98 83 329 300 33 4
94 95 81 335 294 35 5
94 97 79 337 292 39 6
89 92 89 331 298 44 7
85 92 93 332 297 46 8
90 85 95 330 299 49 9
85 85 100 325 304 53 10
79 87 104 315 314 55 11
74 89 107 315 314 59 12
75 88 107 310 319 63 13
79 81 110 314 315 67 14
79 82 109 316 313 68 15
78 82 110 324 305 70 16
68 87 115 314 315 71 17
63 84 123 317 312 74 18
64 80 126 321 308 76 19
59 82 129 315 314 76 20
61 78 131 315 314 79 21
59 80 131 306 323 82 22
64 82 124 305 324 88 23
67 78 125 301 328 88 24
66 77 127 301 328 89 25
66 71 133 308 321 89 26
62 74 134 308 321 89 27
63 74 133 309 320 90 28
67 70 133 308 321 95 29
71 61 138 308 321 99 30
72 59 139 316 313 101 31
76 61 133 320 309 104 32
73 66 131 332 297 105 33
82 59 129 334 295 111 34
76 73 121 343 286 112 35
85 70 115 342 287 117 36
93 65 112 340 289 117 37
94 67 109 345 284 120 38
98 65 107 357 272 124 39
94 69 107 360 269 129 40
87 73 110 360 269 134 41
88 69 113 359 270 135 42
99 65 106 356 273 140 43
98 66 106 363 266 144 44
93 74 103 362 267 146 45
93 71 106 366 263 150 46
97 76 97 372 257 156 47
97 77 96 370 259 160 48
94 85 91 379 250 164 49
94 83 93 372 257 165 50
98 82 90 368 261 168 51
104 74 92 366 263 170 52
98 79 93 361 268 173 53
101 73 96 362 267 176 54
106 73 91 368 261 180 55
103 76 91 367 262 182 56
102 77 91 365 264 185 57
94 84 92 360 269 186 58
95 80 95 361 268 190 59
89 86 95 362 267 194 60
102 78 90 365 264 200 61
102 73 95 366 263 200 62
103 77 90 362 267 202 63
110 71 89 361 268 209 64
102 74 94 358 271 211 65
96 83 91 353 276 214 66
103 75 92 358 271 218 67
97 75 98 361 268 218 68
96 78 96 364 265 218 69
108 70 92 366 263 225 70
104 73 93 369 260 228 71
101 73 96 372 257 232 72
110 75 85 370 259 234 73
108 65 97 370 259 236 74
105 66 99 364 265 239 75
101 73 96 365 264 241 76
103 77 90 363 266 243 77
100 78 92 364 265 246 78
99 77 94 366 263 249 79
98 76 96 367 262 254 80
103 71 96 365 264 257 81
100 71 99 365 264 260 82
100 74 96 367 262 264 83
89 77 104 375 254 265 84
94 72 104 375 254 269 85
95 63 112 379 250 274 86
91 70 109 387 242 276 87
88 71 111 385 244 280 88
100 54 116 389 240 284 89
103 48 119 394 235 287 90
103 53 114 394 235 290 91
100 58 112 397 232 292 92
97 64 109 404 225 295 93
96 69 105 406 223 298 94
99 71 100 401 228 300 95
107 63 100 404 225 304 96
96 74 100 395 234 305 97
106 72 92 391 238 308 98
107 72 91 386 243 311 99
97 78 95 383 246 313 100
108 72 90 377 252 314 101
102 73 95 383 246 316 102
100 77 93 381 248 318 103
100 79 91 385 244 319 104
104 77 89 379 250 322 105
103 75 92 371 258 326 106
101 74 95 374 255 327 107
101 72 97 370 259 330 108
96 70 104 371 258 333 109
91 75 104 368 261 337 110
94 73 103 369 260 341 111
97 67 106 371 258 344 112
96 69 105 366 263 347 113
98 66 106 373 256 350 114
101 57 112 372 257 355 115
97 62 111 372 257 359 116
98 63 109 377 252 360 117
101 55 114 379 250 362 118
94 65 111 381 248 366 119
97 65 108 376 253 369 120
101 61 108 380 249 375 121
99 58 113 378 251 378 122
99 62 109 377 252 378 123
102 58 110 373 256 382 124
106 60 104 376 253 384 125
104 59 107 379 250 385 126
104 60 106 382 247 389 127
99 61 110 382 247 392 128
96 64 110 382 247 393 129
100 62 108 385 244 396 130
101 62 107 380 249 399 131
106 61 103 381 248 400 132
107 58 105 380 249 404 133
104 63 103 379 250 409 134
103 64 103 389 240 410 135
100 67 103 387 242 412 136
96 68 106 381 248 413 137
100 54 116 388 241 415 138
100 52 118 383 246 417 139
91 61 118 382 247 419 140
101 56 113 381 248 422 141
91 62 117 380 249 423 142
86 60 124 381 248 426 143
93 57 120 383 246 430 144
92 55 123 384 245 434 145
90 62 118 388 241 436 146
81 69 120 387 242 436 147
86 64 120 382 247 439 148
86 69 115 383 246 439 149
94 62 114 381 248 441 150
99 60 111 373 256 445 151
106 57 107 368 261 449 152
109 58 103 374 255 454 153
100 61 109 368 261 458 154
91 72 107 368 261 460 155
88 74 108 367 262 464 156
91 70 109 363 266 466 157
84 79 107 361 268 470 158
78 82 110 368 261 474 159
83 76 111 365 264 478 160
79 74 117 367 262 482 161
78 76 116 363 266 486 162
75 77 118 358 271 489 163
74 73 123 359 270 491 164
68 80 122 358 271 492 165
71 71 128 353 276 494 166
77 66 127 345 284 500 167
73 70 127 347 282 504 168
80 61 129 353 276 510 169
83 64 123 352 277 512 170
80 68 122 349 280 514 171
78 72 120 345 284 517 172
74 76 120 350 279 517 173
71 87 112 349 280 518 174
77 81 112 344 285 525 175
88 78 104 348 281 529 176
88 84 98 350 279 530 177
84 90 96 352 277 532 178
86 86 98 354 275 535 179
86 87 97 357 272 541 180
91 83 96 358 271 545 181
86 82 102 358 271 548 182
94 75 101 359 270 554 183
96 75 99 358 271 557 184
93 82 95 355 274 561 185
96 78 96 351 278 565 186
95 76 99 363 266 568 187
91 80 99 367 262 570 188
90 76 104 361 268 572 189
88 80 102 357 272 574 190
89 74 107 359 270 576 191
