325 100 24 329 120 6 0
320 74 55 322 127 13 1
321 52 76 329 120 21 2
300 62 87 330 119 25 3
295 57 97 329 120 30 4
299 55 95 327 122 35 5
297 50 102 330 119 42 6
288 46 115 332 117 52 7
278 38 133 331 118 56 8
280 36 133 331 118 64 9
280 37 132 336 113 69 10
276 39 134 334 115 73 11
274 44 131 331 118 81 12
272 40 137 329 120 85 13
269 42 138 330 119 90 14
261 46 142 327 122 103 15
267 40 142 326 123 107 16
264 43 142 329 120 110 17
269 38 142 333 116 121 18
277 36 136 337 112 132 19
277 39 133 339 110 137 20
277 39 133 341 108 142 21
268 37 144 346 103 148 22
268 36 145 346 103 152 23
265 40 144 347 102 158 24
273 42 134 343 106 162 25
274 40 135 340 109 165 26
277 30 142 339 110 174 27
282 28 139 341 108 176 28
280 34 135 347 102 180 29
281 34 134 348 101 188 30
287 32 130 350 99 192 31
287 33 129 352 97 200 32
292 24 133 353 96 203 33
292 24 133 354 95 209 34
300 24 125 358 91 216 35
306 29 114 361 88 222 36
312 21 116 358 91 226 37
305 29 115 362 87 228 38
301 30 118 359 90 237 39
310 27 112 362 87 243 40
316 21 112 364 85 250 41
320 26 103 366 83 258 42
321 29 99 362 87 267 43
323 32 94 361 88 273 44
323 32 94 358 91 280 45
316 30 103 355 94 284 46
314 27 108 355 94 288 47
309 28 112 359 90 288 48
309 33 107 356 93 296 49
307 32 110 356 93 300 50
309 35 105 355 94 307 51
308 33 108 358 91 311 52
312 24 113 358 91 318 53
317 22 110 360 89 323 54
316 27 106 356 93 331 55
306 35 108 355 94 338 56
312 36 101 347 102 345 57
307 32 110 350 99 349 58
297 31 121 352 97 355 59
300 34 115 352 97 360 60
296 33 120 350 99 368 61
305 29 115 349 100 373 62
313 30 106 353 96 374 63
307 32 110 353 96 378 64
316 30 103 350 99 381 65
304 37 108 352 97 387 66
313 33 103 352 97 392 67
303 39 107 352 97 403 68
292 51 106 356 93 410 69
294 39 116 355 94 416 70
292 32 125 351 98 421 71
296 33 120 354 95 425 72
295 40 114 355 94 429 73
297 37 115 351 98 433 74
297 29 123 352 97 436 75
294 41 114 355 94 439 76
294 40 115 352 97 446 77
308 36 105 353 96 453 78
309 31 109 354 95 457 79
306 33 110 359 90 464 80
309 30 110 360 89 472 81
304 33 112 360 89 480 82
309 33 107 360 89 485 83
314 32 103 362 87 493 84
311 39 99 360 89 498 85
322 27 100 363 86 510 86
323 26 100 369 80 523 87
331 23 95 368 81 530 88
332 25 92 372 77 534 89
327 33 89 374 75 539 90
328 30 91 374 75 544 91
329 24 96 375 74 549 92
330 22 97 377 72 554 93
329 24 96 377 72 558 94
330 24 95 376 73 561 95
334 23 92 376 73 565 96
333 24 92 374 75 567 97
328 26 95 375 74 568 98
337 23 89 372 77 572 99
333 23 93 372 77 573 100
336 23 90 378 71 581 101
335 20 94 382 67 589 102
340 18 91 382 67 600 103
344 19 86 384 65 605 104
349 16 84 385 64 607 105
342 20 87 388 61 610 106
339 20 90 389 60 617 107
338 20 91 388 61 623 108
340 21 88 388 61 626 109
347 15 87 388 61 631 110
346 16 87 388 61 635 111
344 21 84 389 60 643 112
345 23 81 387 62 646 113
343 26 80 387 62 652 114
345 23 81 384 65 655 115
348 23 78 385 64 657 116
345 27 77 385 64 660 117
350 18 81 388 61 665 118
342 26 81 387 62 667 119
345 23 81 387 62 671 120
347 16 86 389 60 675 121
348 14 87 386 63 681 122
351 23 75 385 64 686 123
350 21 78 387 62 691 124
354 21 74 387 62 696 125
362 18 69 385 64 700 126
363 17 69 388 61 704 127
361 22 66 390 59 712 128
361 24 64 394 55 717 129
362 18 69 396 53 722 130
358 17 74 396 53 728 131
358 16 75 395 54 731 132
358 19 72 393 56 737 133
354 18 77 393 56 740 134
357 16 76 394 55 742 135
361 13 75 395 54 753 136
359 22 68 391 58 759 137
349 28 72 391 58 764 138
352 25 72 391 58 769 139
352 26 71 389 60 773 140
351 22 76 386 63 781 141
350 21 78 391 58 784 142
358 13 78 392 57 793 143
360 12 77 396 53 799 144
361 12 76 397 52 801 145
359 17 73 396 53 803 146
